Date,Adj Close
2019-10-18,134.089996
2019-10-17,134.259995
2019-10-16,142.110001
2019-10-15,143
2019-10-14,142.039993
2019-10-11,142.759995
2019-10-10,141.130005
2019-10-09,139.669998
2019-10-08,138.380005
2019-10-07,141.279999
2019-10-04,142.990005
2019-10-03,142.020004
2019-10-02,141.690002
2019-10-01,143.660004
2019-09-30,145.419998
2019-09-27,143.240005
2019-09-26,143.550003
2019-09-25,143.160004
2019-09-24,141.679993
2019-09-23,142.070007
2019-09-20,141.880005
2019-09-19,142.970001
2019-09-18,142.220001
2019-09-17,142.199997
2019-09-16,142.479996
2019-09-13,143.669998
2019-09-12,143.619995
2019-09-11,143.600006
2019-09-10,145.050003
2019-09-09,142.600006
2019-09-06,140.570007
2019-09-05,140.970001
2019-09-04,136.320007
2019-09-03,134.100006
2019-08-30,135.529999
2019-08-29,134.880005
2019-08-28,132.759995
2019-08-27,131.169998
2019-08-26,129.990005
2019-08-23,129.570007
2019-08-22,134.320007
2019-08-21,134.25
2019-08-20,133
2019-08-19,135.039993
2019-08-16,133.759995
2019-08-15,131.919998
2019-08-14,131.25
2019-08-13,135.789993
2019-08-12,133.669998
2019-08-09,136.130005
2019-08-08,140.100006
2019-08-07,137.490005
2019-08-06,139.091141
2019-08-05,139.120789
2019-08-02,145.535202
2019-08-01,148.569458
2019-07-31,146.513687
2019-07-30,148.025864
2019-07-29,149.12294
2019-07-26,149.597351
2019-07-25,148.638641
2019-07-24,148.282837
2019-07-23,148.628769
2019-07-22,147.996216
2019-07-19,147.936905
2019-07-18,147.887497
2019-07-17,141.4039
2019-07-16,141.858536
2019-07-15,141.650986
2019-07-12,141.077728
2019-07-11,139.5952
2019-07-10,138.834167
2019-07-09,137.707443
2019-07-08,138.933014
2019-07-05,139.733566
2019-07-03,139.891693
2019-07-02,138.587082
2019-07-01,138.251038
2019-06-28,136.294083
2019-06-27,136.906876
2019-06-26,136.906876
2019-06-25,136.748734
2019-06-24,137.727219
2019-06-21,137.578949
2019-06-20,137.233032
2019-06-19,135.483643
2019-06-18,134.791794
2019-06-17,133.378448
2019-06-14,133.576111
2019-06-13,134.179016
2019-06-12,133.299377
2019-06-11,134.366806
2019-06-10,133.170898
2019-06-07,131.757538
2019-06-06,130.680237
2019-06-05,129.95874
2019-06-04,131.144775
2019-06-03,126.776245
2019-05-31,125.511147
2019-05-30,128.061111
2019-05-29,128.179703
2019-05-28,128.94075
2019-05-24,130.739548
2019-05-23,130.848267
2019-05-22,134.762146
2019-05-21,134.860977
2019-05-20,133.546463
2019-05-17,132.755798
2019-05-16,134.297623
2019-05-15,132.834854
2019-05-14,131.757538
2019-05-13,129.889557
2019-05-10,133.744141
2019-05-09,133.763901
2019-05-08,134.791794
2019-05-07,134.44017
2019-05-06,137.11647
2019-05-03,136.989487
2019-05-02,136.344818
2019-05-01,137.292282
2019-04-30,137.009018
2019-04-29,135.817383
2019-04-26,136.198318
2019-04-25,135.40715
2019-04-24,136.696457
2019-04-23,137.175064
2019-04-22,135.661102
2019-04-18,137.067627
2019-04-17,135.875992
2019-04-16,141.765808
2019-04-15,140.554626
2019-04-12,140.994171
2019-04-11,140.437424
2019-04-10,139.695099
2019-04-09,138.806259
2019-04-08,140.056488
2019-04-05,139.949051
2019-04-04,139.460663
2019-04-03,140.290909
2019-04-02,139.675552
2019-04-01,139.968582
2019-03-29,137.819733
2019-03-28,136.66716
2019-03-27,136.002975
2019-03-26,136.96019
2019-03-25,135.944351
2019-03-22,136.208084
2019-03-21,138.151825
2019-03-20,136.354614
2019-03-19,137.223907
2019-03-18,136.950424
2019-03-15,136.188538
2019-03-14,135.563431
2019-03-13,135.338776
2019-03-12,135.065277
2019-03-11,134.508545
2019-03-08,131.949432
2019-03-07,132.213181
2019-03-06,133.795502
2019-03-05,134.674591
2019-03-04,135.211792
2019-03-01,135.963882
2019-02-28,134.918777
